C
C     Output produced on a SUN SPARC station 1.
C
C 
C    DCUTRI TEST 
C    SUBROUTINE CALLS =    925, IFAIL =  0
C      60      0.10E-11   1.0000000000010376
C      61      0.29E-12   1.0000000000002902
C      62      0.14E-12   1.0000000000001363
C      63      0.48E-13   1.0000000000000484
C      64      0.21E-13   1.0000000000000211
C      65      0.29E-14   1.0000000000000029
C      66      0.89E-15   0.9999999999999991
C      67      0.00E+00   1.0000000000000000
C      68      0.73E-12   0.9999999999992676
C      69      0.92E-12   0.9999999999990812
C      70      0.16E-11   1.0000000000016056
C      71      0.47E-11   0.9999999999952944
C      72      0.15E-11   1.0000000000015101
C      73      0.10E-11   1.0000000000010338
C      74      0.20E-12   0.9999999999997958
C      75      0.30E-12   1.0000000000002958
C      76      0.61E-13   0.9999999999999387
C      77      0.13E-13   0.9999999999999866
C      78      0.13E-14   1.0000000000000013
C      79      0.57E-13   1.0000000000000566
C      80      0.73E-12   0.9999999999992712
C      81      0.88E-11   0.9999999999911836
C      82      0.51E-11   0.9999999999949216
C      83      0.12E-10   0.9999999999877534
C      84      0.13E-12   0.9999999999998671
C      85      0.24E-11   1.0000000000023679
C      86      0.16E-11   0.9999999999983668
C      87      0.19E-11   1.0000000000018676
C      88      0.53E-12   1.0000000000005338
C      89      0.77E-13   0.9999999999999228
C      90      0.19E-13   1.0000000000000191
C      91      0.13E-14   0.9999999999999987
C      92      0.27E-12   1.0000000000002667
C      93      0.10E-12   1.0000000000000999
C      94      0.38E-11   1.0000000000037732
C      95      0.15E-10   1.0000000000152343
C      96      0.18E-10   1.0000000000178288
C      97      0.27E-10   1.0000000000267895
C      98      0.16E-10   1.0000000000157454
C      99      0.86E-11   0.9999999999913655
C     100      0.13E-10   1.0000000000132447
C     101      0.15E-11   0.9999999999984502
C     102      0.92E-12   0.9999999999990755
C     103      0.23E-12   1.0000000000002311
C     104      0.15E-13   0.9999999999999850
C     105      0.67E-15   1.0000000000000007
C
C    DCUTRI TEST 
C    SUBROUTINE CALLS =    925, IFAIL =  1
C      N   ABSOLUTE ERROR    INTEGRAL
C       1      0.11E-15   0.9999999999999999
C       2      0.11E-15   0.9999999999999999
C       3      0.00E+00   1.0000000000000000
C       4      0.00E+00   1.0000000000000000
C       5      0.00E+00   1.0000000000000000
C       6      0.22E-15   0.9999999999999998
C       7      0.22E-15   1.0000000000000002
C       8      0.00E+00   1.0000000000000000
C       9      0.22E-15   0.9999999999999998
C      10      0.22E-15   0.9999999999999998
C      11      0.11E-15   0.9999999999999999
C      12      0.00E+00   1.0000000000000000
C      13      0.00E+00   1.0000000000000000
C      14      0.00E+00   1.0000000000000000
C      15      0.33E-15   0.9999999999999997
C      16      0.22E-15   0.9999999999999998
C      17      0.56E-15   0.9999999999999994
C      18      0.33E-15   0.9999999999999997
C      19      0.11E-15   0.9999999999999999
C      20      0.22E-15   0.9999999999999998
C      21      0.44E-15   0.9999999999999996
C
C    DCUTRI TEST 
C    SUBROUTINE CALLS =     74, IFAIL =  1
C      N   ABSOLUTE ERROR    INTEGRAL
C       1      0.13E-01   0.9869417152262921
C
C    DCUTRI TEST 
C    SUBROUTINE CALLS =    962, IFAIL =  1
C      N   ABSOLUTE ERROR    INTEGRAL
C       1      0.29E-02   0.9971072795998221
C
C    DCUTRI TEST 
C    SUBROUTINE CALLS =   1702, IFAIL =  0
C      N   ABSOLUTE ERROR    INTEGRAL
C       1      0.14E-05   1.0000013854850509
